('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         819132 function calls (794845 primitive calls) in 3.462 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       95    0.001    0.000    0.001    0.000 typing.py:3794(__getattr__)
       24    0.001    0.000    0.010    0.000 dataclasses.py:470(add_fns_to_class)
      295    0.001    0.000    1.758    0.006 ssl.py:1278(recv)
      536    0.001    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      200    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      318    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      135    0.000    0.000    0.001    0.000 dataclasses.py:709(_is_type)
     1105    0.000    0.000    0.001    0.000 element.py:2168(get)
  219/213    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      812    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  220/178    0.000    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
       50    0.000    0.000    0.002    0.000 typing.py:1023(__init__)
      468    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      812    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      269    0.000    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      320    0.000    0.000    0.001    0.000 enum.py:695(__call__)
     1405    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      258    0.000    0.000    0.002    0.000 _state.py:275(process_event)
       30    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
     1178    0.000    0.000    0.001    0.000 typing.py:1437(__eq__)
       98    0.000    0.000    0.001    0.000 _urlparse.py:223(<genexpr>)
        2    0.000    0.000    0.096    0.048 _synchronization.py:1(<module>)
       99    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
        1    0.000    0.000    0.010    0.010 _urlparse.py:1(<module>)
      334    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       36    0.000    0.000    0.002    0.000 typing.py:1207(_generic_class_getitem)
      429    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       57    0.000    0.000    0.001    0.000 dataclasses.py:768(_get_field)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      295    0.000    0.000    1.757    0.006 ssl.py:1129(read)
       84    0.000    0.000    0.006    0.000 css_parser.py:798(parse_combinator)
      569    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.005    0.005 difflib.py:1(<module>)
      273    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      656    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      135    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      444    0.000    0.000    0.001    0.000 enum.py:78(_is_private)
      636    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1018    0.000    0.000    0.001    0.000 filter.py:321(matches_tag)
      292    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      395    0.000    0.000    0.001    0.000 enum.py:37(_is_descriptor)
  212/149    0.000    0.000    0.001    0.000 typing.py:1773(__hash__)
       48    0.000    0.000    0.001    0.000 typing.py:1256(_generic_init_subclass)
      136    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
      126    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
      295    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
       92    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
     1134    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.055    0.055 _multipart.py:1(<module>)
      190    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
      308    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      462    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:632(cached)
