('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         806483 function calls (782032 primitive calls) in 8.841 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      219    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      313    0.000    0.000    0.185    0.001 __init__.py:287(compile)
       65    0.000    0.000    0.029    0.000 element.py:1079(_find_all)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
      208    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      356    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      302    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       68    0.000    0.000    1.203    0.018 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.089    0.089 dammit.py:1(<module>)
      364    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      222    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       39    0.000    0.000    0.249    0.006 response.py:1151(_handle_chunk)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      199    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
       57    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
      325    0.000    0.000    0.001    0.000 filter.py:490(_make_match_rules)
        2    0.000    0.000    0.001    0.000 feedparser.py:472(_parse_headers)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      132    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
        2    0.000    0.000    0.002    0.001 models.py:610(prepare_cookies)
      530    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      398    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
    79/45    0.000    0.000    0.221    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       41    0.000    0.000    0.009    0.000 response.py:469(_decode)
       14    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
      170    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      219    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      225    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        3    0.000    0.000    0.019    0.006 utils.py:1(<module>)
      358    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      368    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        5    0.000    0.000    0.001    0.000 request.py:2495(getproxies_environment)
       13    0.000    0.000    0.001    0.000 <frozen _collections_abc>:979(update)
    29/16    0.000    0.000    0.279    0.017 {built-in method builtins.__import__}
      502    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
  186/184    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      535    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      329    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       93    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       58    0.000    0.000    0.249    0.004 client.py:635(_safe_read)
      556    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      304    0.000    0.000    0.000    0.000 socket.py:744(readable)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      358    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        2    0.000    0.000    0.000    0.000 socket.py:782(close)
      366    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      199    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       53    0.000    0.000    0.002    0.000 parser.py:123(set_cdata_mode)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
      316    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
       70    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        1    0.000    0.000    0.197    0.197 element.py:1(<module>)
      265    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       55    0.000    0.000    0.002    0.000 typing.py:1658(copy_with)
        1    0.000    0.000    0.073    0.073 ssl.py:990(_create)
       42    0.000    0.000    0.261    0.006 models.py:816(generate)
      269    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       50    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
        1    0.000    0.000    0.087    0.087 css_parser.py:1(<module>)
       22    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
        2    0.000    0.000    1.206    0.603 connection.py:485(getresponse)
        7    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
    32/16    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
      228    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
       40    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      186    0.000    0.000    0.009    0.000 _parser.py:97(closegroup)
    42/30    0.000    0.000    0.015    0.000 css_parser.py:569(parse_pseudo_class)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       49    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      185    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      3/2    0.000    0.000    1.396    0.698 sessions.py:159(resolve_redirects)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        2    0.000    0.000    0.004    0.002 models.py:1(<module>)
        9    0.000    0.000    0.001    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
      257    0.000    0.000    0.000    0.000 element.py:657(_last_descendant)
        2    0.000    0.000    0.003    0.001 cookies.py:1(<module>)
        9    0.000    0.000    0.001    0.000 cookiejar.py:949(set_ok)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        2    0.000    0.000    0.005    0.002 request.py:1(<module>)
      199    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      306    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        1    0.000    0.000    0.007    0.007 socket.py:1(<module>)
       33    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
       43    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       21    0.000    0.000    0.000    0.000 parse.py:951(quote_from_bytes)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
